block_number,pi_execution_time,gpu_execution_time
0,865.9651509672403,0.382392406463623
1,96.18963658809662,0.2234770357608795
2,1739.942510575056,0.6504331529140472
3,96.3800835609436,0.2216187864542007
4,142.17054471373558,0.1981404423713684
5,821.4179479330778,0.3287570923566818
6,46.90449371933937,0.0328421592712402
7,1295.028991997242,0.6030567735433578
8,47.52976462244988,0.0326709449291229
9,48.68779309093952,0.0968118757009506
10,565.7301879674196,0.2765727788209915
11,23.18337053060532,0.0182933360338211
12,1178.0097291618586,0.5465971678495407
13,23.55388820171356,0.0182840228080749
14,1328.3436706662178,0.5429086089134216
15,21.935271695256237,0.018274113535881
16,1237.0315650850534,0.54592065513134
17,23.73045533895493,0.0201901793479919
18,24.68780279159546,0.0223363190889358
19,604.9875325709581,0.2844968438148498
20,10.42605884373188,0.0120819360017776
21,1252.9004139453173,0.4745004326105118
22,10.439342260360718,0.012105256319046
23,1258.9244806021452,0.4747927188873291
24,10.998996645212172,0.0120382755994796
25,1253.030380085111,0.4746842384338379
26,10.61004027724266,0.0123976916074752
27,12.325556129217148,0.0155696272850036
28,295.39736174046993,0.1557867228984832
29,2.728579416871071,0.0079146027565002
30,294.9463801085949,0.1555824279785156
31,2.9450110346078877,0.0082630664110183
32,293.4165246039629,0.1552806794643402
33,3.0543302744627,0.0076567381620407
34,292.4296759814024,0.1553235948085785
35,3.002411499619484,0.0079574435949325
